Alkaline electrolyzer,Unnamed: 1,PEM electrolyzer,Unnamed: 3,PEM electrolyzer efficiency,Unnamed: 5,PEM electrolyzer H2 production,Unnamed: 9,Alkaline electrolyzer efficiency,Unnamed: 7,Alkaline electrolyzer H2 production,Unnamed: 9_1,HTP-AEC electrolyzer efficiency,Colonne2,HTP-AEC electrolyzer H2 production,Unnamed: 9_2,HP-SOEC-WFS electrolyzer efficiency,Unnamed: 9_3,HP-SOEC-WFS electrolyzer H2 production,Unamed_9_4,LTP-AEC electrolyzer efficiency,Unnamed_9_5,LTP-AEC electrolyzer H2 production,Unnamed_9_6,LP-SOEC-WFS electrolyzer efficiency,Unnamed_9_10,LP-SOEC-WFS electrolyzer H2 production,Unnamed : 9_11
P_ptg,Efficiency,P_ptg,Efficiency,P_ptg,Efficiency,P_ptg,H2,P_ptg,Efficiency,P_ptg,H2,P_ptg,efficiency,P_ptg,H2,P_ptg,efficiency,P_ptg,H2,P_ptg,efficiency,P_ptg,H2,P_ptg,efficiency,P_ptg,H2
0,0,0,0,0.04,0,0.04,0,0.1,0,0.1,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0
0.1,0.372,0.1,0.65,0.0401,0.05,0.0401,0.051017812,0.101,0.01,0.101,0.022926209,0.05,0.82,0.05,1.23123,0.05,0.94,0.05,1.4114,0.05,0.79,0.05,1.1861,0.05,0.89,0.05,1.3363
0.2,0.39,0.2,0.7,0.18,0.7,0.18,3.20610687,0.3,0.398,0.3,3.038167939,0.16,0.82,0.16,3.9399,0.16,0.94,0.16,4.5165,0.16,0.72,0.16,3.4594,0.16,0.89,0.16,4.2762
0.3,0.398,0.3,0.69,1,0.58,1,14.75826972,1,0.352,1,8.956743003,0.26,0.77,0.26,6.0120,0.26,0.94,0.26,7.3393,0.26,0.66,0.26,5.1531,0.26,0.89,0.26,6.9489
0.4,0.391,0.4,0.68,1.0001,0,1.0001,0,1.0001,0,1.0001,0,0.37,0.72,0.37,8,0.37,0.94,0.37,10.4444,0.37,0.62,0.37,6.8888,0.37,0.87,0.37,9.6666
0.5,0.385,0.5,0.67,,,,,,,,,0.48,0.68,0.48,9.8018,0.48,0.94,0.48,13.5495,0.48,0.58,0.48,8.3603,0.48,0.82,0.48,11.8198
0.6,0.379,0.6,0.65,,,,,,,,,0.59,0.63,0.59,11.1621,0.59,0.91,0.59,16.1231,0.59,0.54,0.59,9.5675,0.59,0.78,0.59,13.8198
0.7,0.37,0.7,0.63,,,,,,,,,0.7,0.61,0.7,12.8228,0.7,0.87,0.7,18.2882,0.7,0.50,0.7,10.5105,0.7,0.76,0.7,15.9759
0.8,0.364,0.8,0.61,,,,,,,,,0.8,0.57,0.8,13.6936,0.8,0.83,0.8,19.9399,0.8,0.48,0.8,11.5315,0.8,0.74,0.8,17.7777
0.9,0.358,0.9,0.59,,,,,,,,,0.9,0.54,0.9,14.5945,0.9,0.80,0.9,21.6216,0.9,0.46,0.9,12.4324,0.9,0.72,0.9,19.4594
1,0.352,1,0.58,,,,,,,,,1,0.52,1,15.6156,1,0.76,1,22.8228,1,0.44,1,13.2132,1,0.69,1,20.7207
